TABLE_NAME,COLUMN_NAME,DATA_LENGTH,DATA_TYPE,COLUMN_ID,NULLABLE
ADMIN_ITEM,LST_UPD_USR_ID,50,VARCHAR2,29,Y
ADMIN_ITEM,LST_UPD_USR_ID_X,50,VARCHAR2,48,Y
ADMIN_ITEM,NCI_IDSEQ,36,CHAR,46,Y
ADMIN_ITEM,ORIGIN,500,VARCHAR2,14,Y
ADMIN_ITEM,ORIGIN_ID,22,NUMBER,40,Y
ADMIN_ITEM,ORIGIN_ID_DN,500,VARCHAR2,41,Y
ADMIN_ITEM,REGISTRR_CNTCT_ID,22,NUMBER,22,Y
ADMIN_ITEM,REGSTR_AUTH_ID,22,NUMBER,36,Y
ADMIN_ITEM,REGSTR_STUS_ID,22,NUMBER,21,Y
ADMIN_ITEM,REGSTR_STUS_NM_DN,50,VARCHAR2,43,Y
ADMIN_ITEM,S2P_TRN_DT,7,DATE,32,Y
ADMIN_ITEM,STEWRD_CNTCT_ID,22,NUMBER,24,Y
ADMIN_ITEM,STEWRD_ORG_ID,22,NUMBER,26,Y
ADMIN_ITEM,SUBMT_CNTCT_ID,22,NUMBER,23,Y
ADMIN_ITEM,SUBMT_ORG_ID,22,NUMBER,25,Y
ADMIN_ITEM,UNRSLVD_ISSUE,"1,000",VARCHAR2,15,Y
ADMIN_ITEM,UNTL_DT,7,DATE,16,Y
ADMIN_ITEM,VER_NR,22,NUMBER,3,N
ADMIN_ITEM_AUDIT,CHNG_DESC,100,VARCHAR2,6,Y
ADMIN_ITEM_AUDIT,CHNG_TYP_ID,22,NUMBER,4,Y
ADMIN_ITEM_AUDIT,CREAT_DT,7,DATE,5,Y
ADMIN_ITEM_AUDIT,CREAT_USR_ID,50,VARCHAR2,7,Y
ADMIN_ITEM_AUDIT,FLD_DELETE,22,NUMBER,10,Y
ADMIN_ITEM_AUDIT,ITEM_ID,22,NUMBER,2,Y
ADMIN_ITEM_AUDIT,LOG_ID,22,NUMBER,1,N
ADMIN_ITEM_AUDIT,LST_DEL_DT,7,DATE,11,Y
ADMIN_ITEM_AUDIT,LST_UPD_DT,7,DATE,13,Y
ADMIN_ITEM_AUDIT,LST_UPD_USR_ID,50,VARCHAR2,9,Y
