OBJECT_TYPE,OBJECT_NAME,SUBOBJECT_NAME,STATUS
MATERIALIZED VIEW,VW_CLSFCTN_SCHM,NULL,VALID
MATERIALIZED VIEW,VW_CLSFCTN_SCHM_ITEM,NULL,VALID
MATERIALIZED VIEW,VW_CNCPT,NULL,VALID
MATERIALIZED VIEW,VW_CNTXT,NULL,VALID
MATERIALIZED VIEW,VW_CONC_DOM,NULL,VALID
MATERIALIZED VIEW,VW_MV,NULL,VALID
MATERIALIZED VIEW,VW_REP_CLS,NULL,VALID
PACKAGE,DQ,NULL,VALID
PACKAGE,HIER,NULL,VALID
PACKAGE,HOOK,NULL,VALID
PACKAGE,IHOOK,NULL,VALID
PACKAGE,LOGGING,NULL,VALID
PACKAGE,ME,NULL,VALID
PACKAGE,METAMAP,NULL,VALID
PACKAGE,MISC,NULL,VALID
PACKAGE,MMAP,NULL,VALID
PACKAGE,NCI_11179,NULL,VALID
PACKAGE,NCI_11179_2,NULL,VALID
PACKAGE,NCI_CADSR_PULL,NULL,VALID
PACKAGE,NCI_CHNG_MGMT,NULL,VALID
PACKAGE,NCI_FORM_MGMT,NULL,VALID
PACKAGE,RE,NULL,VALID
PACKAGE,TEMPLATE_11179,NULL,VALID
PACKAGE BODY,DQ,NULL,VALID
PACKAGE BODY,HIER,NULL,VALID
PACKAGE BODY,HOOK,NULL,VALID
PACKAGE BODY,IHOOK,NULL,VALID
PACKAGE BODY,LOGGING,NULL,VALID
PACKAGE BODY,ME,NULL,VALID
PACKAGE BODY,METAMAP,NULL,VALID
PACKAGE BODY,MMAP,NULL,VALID
PACKAGE BODY,NCI_11179,NULL,VALID
PACKAGE BODY,NCI_11179_2,NULL,VALID
PACKAGE BODY,NCI_CADSR_PULL,NULL,VALID
PACKAGE BODY,NCI_CHNG_MGMT,NULL,VALID
PACKAGE BODY,NCI_FORM_MGMT,NULL,VALID
PACKAGE BODY,RE,NULL,VALID
PACKAGE BODY,TEMPLATE_11179,NULL,VALID
PROCEDURE,PROC_DSBL_ADPT_OPTMZR,NULL,VALID
PROCEDURE,SAG_AI_VALIDATION,NULL,VALID
PROCEDURE,SAG_FK_VALIDATE,NULL,VALID
PROCEDURE,SAG_ITEM_VALIDATION,NULL,VALID
PROCEDURE,SAG_MIGR_VAL_LOV_FULL,NULL,VALID
PROCEDURE,SPAISTINSPOST,NULL,VALID
PROCEDURE,SPAISTUPDPOST,NULL,VALID
PROCEDURE,SPAIUPDPOST,NULL,VALID
PROCEDURE,SPALTDEFPOST,NULL,VALID
PROCEDURE,SPCLASSIFICATION,NULL,VALID
PROCEDURE,SPCREATEDE,NULL,VALID
PROCEDURE,SPDEPREFQUESTPOST2,NULL,VALID
PROCEDURE,SPINSREFBLOBPOST,NULL,VALID
PROCEDURE,SP_POSTPROCESS,NULL,VALID
PROCEDURE,SP_PREPROCESS,NULL,VALID
TABLE,ADMIN_ITEM,NULL,VALID
TABLE,ADMIN_ITEM_AUDIT,NULL,VALID
TABLE,ADMIN_ITEM_CLSFCTN_SCHM_ITEM,NULL,VALID
TABLE,ADMIN_ITEM_LANG_VAR,NULL,VALID
TABLE,ADMIN_ITEM_REF_DOC,NULL,VALID
TABLE,AI_INPUT_TAB,NULL,VALID
TABLE,ALT_DEF,NULL,VALID
TABLE,ALT_NMS,NULL,VALID
TABLE,CASE_FILES,NULL,VALID
TABLE,CHAR_SET,NULL,VALID
TABLE,CLSFCTN_SCHM,NULL,VALID
TABLE,CLSFCTN_SCHM_ITEM,NULL,VALID
TABLE,CLSFCTN_SCHM_ITEM_PERM_VAL,NULL,VALID
TABLE,CLSFCTN_SCHM_ITEM_REL,NULL,VALID
TABLE,CNCPT,NULL,VALID
TABLE,CNCPT_ADMIN_ITEM,NULL,VALID
TABLE,CNCPT_CSI,NULL,VALID
TABLE,CNCPT_VAL_MEAN,NULL,VALID
TABLE,CNTCT,NULL,VALID
TABLE,CNTXT,NULL,VALID
TABLE,CNTXT_REL,NULL,VALID
TABLE,CONC_DOM,NULL,VALID
TABLE,CONC_DOM_REL,NULL,VALID
TABLE,CONC_DOM_VAL_MEAN,NULL,VALID
TABLE,DATA_TYP,NULL,VALID
TABLE,DE,NULL,VALID
TABLE,DERV_RUL,NULL,VALID
TABLE,DE_CONC,NULL,VALID
TABLE,DE_CONC_REL,NULL,VALID
TABLE,DE_DERV,NULL,VALID
TABLE,DE_REL,NULL,VALID
TABLE,FMT,NULL,VALID
TABLE,GLSRY,NULL,VALID
TABLE,IMPORT_MAPPING_PARAM,NULL,VALID
TABLE,IMPORT_MAPPING_PARAM_FLTR,NULL,VALID
TABLE,LANG,NULL,VALID
TABLE,NCI_ADMIN_ITEM_EXT,NULL,VALID
TABLE,NCI_ADMIN_ITEM_REL,NULL,VALID
TABLE,NCI_ADMIN_ITEM_REL_ALT_KEY,NULL,VALID
TABLE,NCI_AI_TYP_VALID_STUS,NULL,VALID
TABLE,NCI_ALT_KEY_ADMIN_ITEM_REL,NULL,VALID
TABLE,NCI_CHANGE_HISTORY,NULL,VALID
TABLE,NCI_CLSFCTN_SCHM_ITEM,NULL,VALID
TABLE,NCI_CSI_ALT_DEFNMS,NULL,VALID
TABLE,NCI_ENTTY,NULL,VALID
TABLE,NCI_ENTTY_ADDR,NULL,VALID
TABLE,NCI_ENTTY_COMM,NULL,VALID
TABLE,NCI_FORM,NULL,VALID
TABLE,NCI_FORM_TA,NULL,VALID
TABLE,NCI_FORM_TA_REL,NULL,VALID
TABLE,NCI_INSTR,NULL,VALID
TABLE,NCI_OC_RECS,NULL,VALID
TABLE,NCI_ORG,NULL,VALID
TABLE,NCI_PROTCL,NULL,VALID
TABLE,NCI_PRSN,NULL,VALID
TABLE,NCI_QUEST_VALID_VALUE,NULL,VALID
TABLE,NCI_QUEST_VV_REP,NULL,VALID
TABLE,NCI_STG_ADMIN_ITEM,NULL,VALID
TABLE,NCI_STG_AI_CNCPT,NULL,VALID
TABLE,NCI_STG_AI_CNCPT_CREAT,NULL,VALID
TABLE,NCI_STG_AI_REL,NULL,VALID
TABLE,NCI_USR_CART,NULL,VALID
TABLE,NCI_VAL_MEAN,NULL,VALID
TABLE,OBJ_CLS,NULL,VALID
TABLE,OBJ_CLS_REL,NULL,VALID
TABLE,OBJ_KEY,NULL,VALID
TABLE,OBJ_TYP,NULL,VALID
TABLE,OD_CNSTRNT_TYP,NULL,VALID
TABLE,ORG,NULL,VALID
TABLE,ORG_CNTCT,NULL,VALID
TABLE,PERM_VAL,NULL,VALID
TABLE,PROP,NULL,VALID
TABLE,REF,NULL,VALID
TABLE,REF_DOC,NULL,VALID
TABLE,REGIST_RUL,NULL,VALID
TABLE,REGIST_RUL_REQ_COLMNS,NULL,VALID
TABLE,REP_CLS,NULL,VALID
TABLE,RE_MISC,NULL,VALID
TABLE,RE_OPERATORS,NULL,VALID
TABLE,RE_RULES,NULL,VALID
TABLE,RE_RULE_STEPS,NULL,VALID
TABLE,STUS_MSTR,NULL,VALID
TABLE,STUS_TYP,NULL,VALID
TABLE,SYSTEM_APPLICATION,NULL,VALID
TABLE,SYSTEM_COLUMNS,NULL,VALID
TABLE,SYSTEM_COLUMNS_DATA,NULL,VALID
TABLE,SYSTEM_COLUMN_DE,NULL,VALID
TABLE,SYSTEM_CONSTRAINTS,NULL,VALID
TABLE,SYSTEM_TABLES,NULL,VALID
TABLE,TEST_RESULTS,NULL,VALID
TABLE,UOM,NULL,VALID
TABLE,USR_GRP,NULL,VALID
TABLE,VALUE_DOM,NULL,VALID
TABLE,VAL_DOM_REL,NULL,VALID
TABLE,VAL_MEAN,NULL,VALID
TABLE,VAL_MEAN_LANG_VAR,NULL,VALID
TABLE,VER_LVL_OPTS,NULL,VALID
TABLE,VW_CLSFCTN_SCHM,NULL,VALID
TABLE,VW_CLSFCTN_SCHM_ITEM,NULL,VALID
TABLE,VW_CNCPT,NULL,VALID
TABLE,VW_CNTXT,NULL,VALID
TABLE,VW_CONC_DOM,NULL,VALID
TABLE,VW_MV,NULL,VALID
TABLE,VW_REP_CLS,NULL,VALID
TRIGGER,NCI_TR_ENTTY,NULL,VALID
TRIGGER,NCI_TR_ENTTY_ORG,NULL,VALID
TRIGGER,NCI_TR_ENTTY_PRSN,NULL,VALID
TRIGGER,OD_TR_ADMIN_ITEM,NULL,VALID
TRIGGER,OD_TR_ALT_DEF,NULL,VALID
TRIGGER,OD_TR_ALT_KEY,NULL,VALID
TRIGGER,OD_TR_ALT_NMS,NULL,VALID
TRIGGER,OD_TR_CASE_FILE,NULL,VALID
TRIGGER,OD_TR_CHARSET,NULL,VALID
TRIGGER,OD_TR_CNCPT_AI_ID,NULL,VALID
TRIGGER,OD_TR_CNTCT,NULL,VALID
TRIGGER,OD_TR_CSI,NULL,VALID
TRIGGER,OD_TR_DTTYP,NULL,VALID
TRIGGER,OD_TR_FMT,NULL,VALID
TRIGGER,OD_TR_GLSRY,NULL,VALID
TRIGGER,OD_TR_IMPORT_PARAM,NULL,VALID
TRIGGER,OD_TR_ITEM_AUDIT,NULL,VALID
TRIGGER,OD_TR_LANG,NULL,VALID
TRIGGER,OD_TR_OBJKEY,NULL,VALID
TRIGGER,OD_TR_ORG,NULL,VALID
TRIGGER,OD_TR_PERM_VAL,NULL,VALID
TRIGGER,OD_TR_QUEST_VV,NULL,VALID
TRIGGER,OD_TR_REF,NULL,VALID
TRIGGER,OD_TR_REF_DOC,NULL,VALID
TRIGGER,OD_TR_REGIST_RUL,NULL,VALID
TRIGGER,OD_TR_STG_AI,NULL,VALID
TRIGGER,OD_TR_STG_AI_CNCPT,NULL,VALID
TRIGGER,OD_TR_STUS_MSTR,NULL,VALID
TRIGGER,OD_TR_SYSTEM_APP,NULL,VALID
TRIGGER,OD_TR_SYSTEM_COLUMNS,NULL,VALID
TRIGGER,OD_TR_SYSTEM_CONSTRAINTS,NULL,VALID
TRIGGER,OD_TR_SYSTEM_TABLES,NULL,VALID
TRIGGER,OD_TR_SYS_CNSTRNT_AUD_TS,NULL,VALID
TRIGGER,OD_TR_SYS_TBL_COL_NM,NULL,VALID
TRIGGER,OD_TR_SYS_TBL_NM,NULL,VALID
TRIGGER,OD_TR_UOM,NULL,VALID
TRIGGER,OD_TR_VAL_MEAN,NULL,VALID
TRIGGER,TR_ADMIN_ITEM_LANG_VAR_AUD_TS,NULL,VALID
TRIGGER,TR_AI_ALT_KEY,NULL,VALID
TRIGGER,TR_AI_AUDIT_AUD_TS,NULL,VALID
TRIGGER,TR_AI_AUD_TS,NULL,VALID
TRIGGER,TR_AI_CSI_AUD_TS,NULL,VALID
TRIGGER,TR_AI_EXT_TAB_INS,NULL,VALID
TRIGGER,TR_AI_REF_DOC_AUD_TS,NULL,VALID
TRIGGER,TR_ALT_DEF_AUD_TS,NULL,VALID
