OBJECT_TYPE,OBJECT_NAME,SUBOBJECT_NAME,STATUS
TRIGGER,TR_ALT_NMS_AUD_TS,NULL,VALID
TRIGGER,TR_CASE_FILES_AUD_TS,NULL,VALID
TRIGGER,TR_CHAR_SET_AUD_TS,NULL,VALID
TRIGGER,TR_CNCPT_ADMIN_ITEM_AUD_TS,NULL,VALID
TRIGGER,TR_CNCPT_AUD_TS,NULL,VALID
TRIGGER,TR_CNCPT_CSI_AUD_TS,NULL,VALID
TRIGGER,TR_CNCPT_VAL_MEAN_AUD_TS,NULL,VALID
TRIGGER,TR_CNTCT_AUD_TS,NULL,VALID
TRIGGER,TR_CNTXT_AUD_TS,NULL,VALID
TRIGGER,TR_CONC_DOM_AUD_TS,NULL,VALID
TRIGGER,TR_CONC_DOM_REL_AUD_TS,NULL,VALID
TRIGGER,TR_CONC_DOM_VAL_MEAN_AUD_TS,NULL,VALID
TRIGGER,TR_CSI_AUD_TS,NULL,VALID
TRIGGER,TR_CSI_REL_AUD_TS,NULL,VALID
TRIGGER,TR_CS_AUDIT_TS,NULL,VALID
TRIGGER,TR_DATA_TYP_AUD_TS,NULL,VALID
TRIGGER,TR_DERV_RUL_AUD_TS,NULL,VALID
TRIGGER,TR_DE_AUD_TS,NULL,VALID
TRIGGER,TR_DE_CONC_AUD_TS,NULL,VALID
TRIGGER,TR_DE_CONC_REL_AUD_TS,NULL,VALID
TRIGGER,TR_DE_DERV_AUD_TS,NULL,VALID
TRIGGER,TR_DE_REL_AUD_TS,NULL,VALID
TRIGGER,TR_FMT_AUD_TS,NULL,VALID
TRIGGER,TR_GLSRY_AUD_TS,NULL,VALID
TRIGGER,TR_IMPORT_PARAM_AUD_TS,NULL,VALID
TRIGGER,TR_INSTR,NULL,VALID
TRIGGER,TR_LANG_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_ADMIN_ITEM_REL_AK_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_ADMIN_ITEM_REL_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_AI_DENORM_INS,NULL,VALID
TRIGGER,TR_NCI_AI_TYP_VALID_STUS_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_AK_ADMIN_ITEM_REL_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_ALT_DEF,NULL,VALID
TRIGGER,TR_NCI_ALT_NMS,NULL,VALID
TRIGGER,TR_NCI_ALT_NMS_DENORM_INS,NULL,VALID
TRIGGER,TR_NCI_CSI_ALT_DEFNMS_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_CSI_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_ENTTY_ADDR_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_ENTTY_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_ENTTY_COMM_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_FORM_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_FORM_TA_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_FORM_TA_REL_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_INSTR_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_OC_RECS_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_ORG_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_PERM_VAL,NULL,VALID
TRIGGER,TR_NCI_PROTCL_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_PRSN_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_QUEST_VV_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_QUEST_VV_REP_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_REF,NULL,VALID
TRIGGER,TR_NCI_STG_AI_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_STG_AI_CNCPT_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_STG_AI_NM_TS,NULL,VALID
TRIGGER,TR_NCI_USR_CART_AUD_TS,NULL,VALID
TRIGGER,TR_NCI_VAL_MEAN_AUD_TS,NULL,VALID
TRIGGER,TR_OBJ_CLS_AUD_TS,NULL,VALID
TRIGGER,TR_OBJ_KEY_AUD_TS,NULL,VALID
TRIGGER,TR_OBJ_TYP_AUD_TS,NULL,VALID
TRIGGER,TR_OD_CNSTRNT_TYP_AUD_TS,NULL,VALID
TRIGGER,TR_ORG_AUD_TS,NULL,VALID
TRIGGER,TR_PERM_VAL_AUD_TS,NULL,VALID
TRIGGER,TR_PROP_AUD_TS,NULL,VALID
TRIGGER,TR_REF_AUD_TS,NULL,VALID
TRIGGER,TR_REF_DOC_AUD_TS,NULL,VALID
TRIGGER,TR_REGIST_RUL_AUD_TS,NULL,VALID
TRIGGER,TR_REGIST_RUL_REQ_COL_AUD_TS,NULL,VALID
TRIGGER,TR_REP_CLS_AUD_TS,NULL,VALID
TRIGGER,TR_STG_QUEST_VV_REP,NULL,VALID
TRIGGER,TR_STG_TA,NULL,VALID
TRIGGER,TR_STUS_MSTR_AUD_TS,NULL,VALID
TRIGGER,TR_STUS_TYP_AUD_TS,NULL,VALID
TRIGGER,TR_SYSTEM_APPLICATION_AUD_TS,NULL,VALID
TRIGGER,TR_SYSTEM_COLUMNS_AUD_TS,NULL,VALID
TRIGGER,TR_SYSTEM_COLUMNS_DATA_AUD_TS,NULL,VALID
TRIGGER,TR_SYSTEM_COLUMNS_DE_AUD_TS,NULL,VALID
TRIGGER,TR_SYSTEM_TABLES_AUD_TS,NULL,VALID
TRIGGER,TR_UOM_AUD_TS,NULL,VALID
TRIGGER,TR_USR_GRP_AUD_TS,NULL,VALID
TRIGGER,TR_VAL_DOM_AUD_TS,NULL,VALID
TRIGGER,TR_VAL_DOM_REL_AUD_TS,NULL,VALID
TRIGGER,TR_VAL_MEAN_AUD_TS,NULL,VALID
VIEW,CNCPT_CONC_DOM,NULL,VALID
VIEW,CNCPT_DEC,NULL,VALID
VIEW,CNCPT_OBJ_CLS,NULL,VALID
VIEW,CNCPT_PROP,NULL,VALID
VIEW,VW_ADMIN_ITEM,NULL,VALID
VIEW,VW_ADMIN_ITEM_GLBL,NULL,VALID
VIEW,VW_ADMIN_STUS,NULL,VALID
VIEW,VW_ADMIN_STUS_RUL,NULL,VALID
VIEW,VW_AI_CSI,NULL,VALID
VIEW,VW_ALT_NMS,NULL,VALID
VIEW,VW_CD_PSV_CNSTRNT,NULL,VALID
VIEW,VW_CHAR_SET,NULL,VALID
VIEW,VW_CMNTS,NULL,VALID
VIEW,VW_CNCPT_CHLDRN,NULL,VALID
VIEW,VW_CNTCT,NULL,VALID
VIEW,VW_CSI_NODE_DEC_REL,NULL,VALID
VIEW,VW_CSI_NODE_DE_REL,NULL,VALID
VIEW,VW_CSI_NODE_FORM_REL,NULL,VALID
VIEW,VW_CSI_NODE_VD_REL,NULL,VALID
VIEW,VW_DATA_ELEM_RPT,NULL,VALID
VIEW,VW_DATA_TYP,NULL,VALID
VIEW,VW_DE,NULL,VALID
VIEW,VW_DEC_MTCHG,NULL,VALID
VIEW,VW_DERV_RUL,NULL,VALID
VIEW,VW_DE_CONC,NULL,VALID
VIEW,VW_DE_HORT,NULL,VALID
VIEW,VW_DE_MTCHG,NULL,VALID
VIEW,VW_DE_REL,NULL,VALID
VIEW,VW_EXMPLS,NULL,VALID
VIEW,VW_FORM,NULL,VALID
VIEW,VW_NCI_AI,NULL,VALID
VIEW,VW_NCI_AI_CURRNT,NULL,VALID
VIEW,VW_NCI_ALT_DEF,NULL,VALID
VIEW,VW_NCI_ALT_NMS,NULL,VALID
VIEW,VW_NCI_CSI_DE,NULL,VALID
VIEW,VW_NCI_CSI_NM,NULL,VALID
VIEW,VW_NCI_CSI_NODE,NULL,VALID
VIEW,VW_NCI_DE,NULL,VALID
VIEW,VW_NCI_DEC_CNCPT,NULL,VALID
VIEW,VW_NCI_DE_CNCPT,NULL,VALID
VIEW,VW_NCI_DE_HORT,NULL,VALID
VIEW,VW_NCI_DE_PV,NULL,VALID
VIEW,VW_NCI_FORM,NULL,VALID
VIEW,VW_NCI_FORM_MODULE,NULL,VALID
VIEW,VW_NCI_MODULE_DE,NULL,VALID
VIEW,VW_NCI_USED_BY,NULL,VALID
VIEW,VW_NCI_USR_CART,NULL,VALID
VIEW,VW_OBJ_CLS,NULL,VALID
VIEW,VW_OBJ_KEY_1,NULL,VALID
VIEW,VW_OBJ_KEY_10,NULL,VALID
VIEW,VW_OBJ_KEY_11,NULL,VALID
VIEW,VW_OBJ_KEY_12,NULL,VALID
VIEW,VW_OBJ_KEY_13,NULL,VALID
VIEW,VW_OBJ_KEY_14,NULL,VALID
VIEW,VW_OBJ_KEY_15,NULL,VALID
VIEW,VW_OBJ_KEY_2,NULL,VALID
VIEW,VW_OBJ_KEY_3,NULL,VALID
VIEW,VW_OBJ_KEY_4,NULL,VALID
VIEW,VW_OBJ_KEY_5,NULL,VALID
VIEW,VW_OBJ_KEY_6,NULL,VALID
VIEW,VW_OBJ_KEY_7,NULL,VALID
VIEW,VW_OBJ_KEY_8,NULL,VALID
VIEW,VW_OBJ_KEY_9,NULL,VALID
VIEW,VW_OC_PROP,NULL,VALID
VIEW,VW_PERM_VALUES,NULL,VALID
VIEW,VW_PERM_VAL_FOR_DE,NULL,VALID
VIEW,VW_PERM_VAL_VAL_DOM_CONC_DOM,NULL,VALID
VIEW,VW_PROP,NULL,VALID
VIEW,VW_REF,NULL,VALID
VIEW,VW_REGIST_AUTH,NULL,VALID
VIEW,VW_REGIS_STUS_RUL,NULL,VALID
VIEW,VW_REGSTR_STUS,NULL,VALID
VIEW,VW_SYS_TBL_COL,NULL,VALID
VIEW,VW_VALUE_DOM,NULL,VALID
VIEW,VW_VAL_DOM_2,NULL,VALID
VIEW,VW_VAL_MEAN,NULL,VALID
VIEW,VW_VAL_MEAN_CONC_DOM,NULL,VALID
VIEW,VW_VAL_MEAN_PSV_CNSTRNT,NULL,VALID
