ASL_NAME,ACTL_NAME,DATE_CREATED,CREATED_BY,DATE_MODIFIED,MODIFIED_BY,,ASL_NAME,ACTL_NAME,DATE_CREATED,CREATED_BY,DATE_MODIFIED,MODIFIED_BY
RELEASED,CONCEPTUALDOMAIN,10/30/2003 8:34,SBREXT,NULL,NULL,,RELEASED,CONCEPTUALDOMAIN,10/30/2003 08:34:21,SBREXT,NULL,NULL
DRAFT MOD,DATAELEMENT,10/30/2003 8:34,SBREXT,NULL,NULL,,DRAFT MOD,DATAELEMENT,10/30/2003 08:34:21,SBREXT,NULL,NULL
DRAFT NEW,DATAELEMENT,10/30/2003 8:34,SBREXT,NULL,NULL,,DRAFT NEW,DATAELEMENT,10/30/2003 08:34:21,SBREXT,NULL,NULL
RELEASED,DATAELEMENT,10/30/2003 8:34,SBREXT,NULL,NULL,,RELEASED,DATAELEMENT,10/30/2003 08:34:21,SBREXT,NULL,NULL
RELEASED-NON-CMPLNT,DATAELEMENT,10/30/2003 8:34,SBREXT,NULL,NULL,,RELEASED-NON-CMPLNT,DATAELEMENT,10/30/2003 08:34:21,SBREXT,NULL,NULL
RETIRED ARCHIVED,DATAELEMENT,10/30/2003 8:34,SBREXT,NULL,NULL,,RETIRED ARCHIVED,DATAELEMENT,10/30/2003 08:34:21,SBREXT,NULL,NULL
DRAFT MOD,DE_CONCEPT,10/30/2003 8:34,SBREXT,NULL,NULL,,DRAFT MOD,DE_CONCEPT,10/30/2003 08:34:21,SBREXT,NULL,NULL
DRAFT NEW,DE_CONCEPT,10/30/2003 8:34,SBREXT,NULL,NULL,,DRAFT NEW,DE_CONCEPT,10/30/2003 08:34:21,SBREXT,NULL,NULL
RELEASED,DE_CONCEPT,10/30/2003 8:34,SBREXT,NULL,NULL,,RELEASED,DE_CONCEPT,10/30/2003 08:34:21,SBREXT,NULL,NULL
RELEASED-NON-CMPLNT,DE_CONCEPT,10/30/2003 8:34,SBREXT,NULL,NULL,,RELEASED-NON-CMPLNT,DE_CONCEPT,10/30/2003 08:34:21,SBREXT,NULL,NULL
RETIRED ARCHIVED,DE_CONCEPT,10/30/2003 8:34,SBREXT,NULL,NULL,,RETIRED ARCHIVED,DE_CONCEPT,10/30/2003 08:34:21,SBREXT,NULL,NULL
RELEASED-NON-CMPLNT,OBJECTCLASS,10/12/2020 10:24,TAYLORT,NULL,NULL,,RELEASED-NON-CMPLNT,OBJECTCLASS,10/12/2020 10:24:01,TAYLORT,NULL,NULL
DRAFT MOD,OBJECTCLASS,10/30/2003 8:34,SBREXT,NULL,NULL,,DRAFT MOD,OBJECTCLASS,10/30/2003 08:34:21,SBREXT,NULL,NULL
DRAFT NEW,OBJECTCLASS,10/30/2003 8:34,SBREXT,NULL,NULL,,DRAFT NEW,OBJECTCLASS,10/30/2003 08:34:21,SBREXT,NULL,NULL
RELEASED,OBJECTCLASS,10/30/2003 8:34,SBREXT,NULL,NULL,,RELEASED,OBJECTCLASS,10/30/2003 08:34:21,SBREXT,NULL,NULL
RETIRED ARCHIVED,OBJECTCLASS,10/30/2003 8:34,SBREXT,NULL,NULL,,RETIRED ARCHIVED,OBJECTCLASS,10/30/2003 08:34:21,SBREXT,NULL,NULL
DRAFT MOD,PROPERTY,10/30/2003 8:34,SBREXT,NULL,NULL,,DRAFT MOD,PROPERTY,10/30/2003 08:34:21,SBREXT,NULL,NULL
DRAFT NEW,PROPERTY,10/30/2003 8:34,SBREXT,NULL,NULL,,DRAFT NEW,PROPERTY,10/30/2003 08:34:21,SBREXT,NULL,NULL
RELEASED,PROPERTY,10/30/2003 8:34,SBREXT,NULL,NULL,,RELEASED,PROPERTY,10/30/2003 08:34:21,SBREXT,NULL,NULL
RELEASED-NON-CMPLNT,PROPERTY,10/30/2003 8:34,SBREXT,NULL,NULL,,RELEASED-NON-CMPLNT,PROPERTY,10/30/2003 08:34:21,SBREXT,NULL,NULL
RETIRED ARCHIVED,PROPERTY,10/30/2003 8:34,SBREXT,NULL,NULL,,RETIRED ARCHIVED,PROPERTY,10/30/2003 08:34:21,SBREXT,NULL,NULL
RELEASED,PROTOCOL,9/25/2020 10:27,TAYLORT,NULL,NULL,,RELEASED,PROTOCOL,09/25/2020 10:27:17,TAYLORT,NULL,NULL
DRAFT NEW,PROTOCOL,9/25/2020 10:27,TAYLORT,NULL,NULL,,DRAFT NEW,PROTOCOL,09/25/2020 10:27:34,TAYLORT,NULL,NULL
RETIRED ARCHIVED,PROTOCOL,10/19/2020 13:47,TAYLORT,NULL,NULL,,RETIRED ARCHIVED,PROTOCOL,10/19/2020 13:47:19,TAYLORT,NULL,NULL
RETIRED ARCHIVED,QUEST_CONTENT,10/7/2020 8:48,TAYLORT,NULL,NULL,,RETIRED ARCHIVED,QUEST_CONTENT,10/07/2020 08:48:11,TAYLORT,NULL,NULL
DRAFT NEW,QUEST_CONTENT,5/27/2004 10:21,SBR,NULL,NULL,,DRAFT NEW,QUEST_CONTENT,05/27/2004 10:21:48,SBR,NULL,NULL
RELEASED,QUEST_CONTENT,5/27/2004 10:25,SBR,NULL,NULL,,RELEASED,QUEST_CONTENT,05/27/2004 10:25:31,SBR,NULL,NULL
APPRVD FOR TRIAL USE,QUEST_CONTENT,5/27/2004 10:19,SBR,NULL,NULL,,APPRVD FOR TRIAL USE,QUEST_CONTENT,05/27/2004 10:19:51,SBR,NULL,NULL
DRAFT NEW,REPRESENTATION,10/30/2003 8:34,SBREXT,NULL,NULL,,DRAFT NEW,REPRESENTATION,10/30/2003 08:34:21,SBREXT,NULL,NULL
RELEASED,REPRESENTATION,10/30/2003 8:34,SBREXT,NULL,NULL,,RELEASED,REPRESENTATION,10/30/2003 08:34:21,SBREXT,NULL,NULL
RETIRED ARCHIVED,REPRESENTATION,10/30/2003 8:34,SBREXT,NULL,NULL,,RETIRED ARCHIVED,REPRESENTATION,10/30/2003 08:34:21,SBREXT,NULL,NULL
DRAFT MOD,VALUEDOMAIN,10/30/2003 8:34,SBREXT,NULL,NULL,,DRAFT MOD,VALUEDOMAIN,10/30/2003 08:34:21,SBREXT,NULL,NULL
DRAFT NEW,VALUEDOMAIN,10/30/2003 8:34,SBREXT,NULL,NULL,,DRAFT NEW,VALUEDOMAIN,10/30/2003 08:34:21,SBREXT,NULL,NULL
RELEASED,VALUEDOMAIN,10/30/2003 8:34,SBREXT,NULL,NULL,,RELEASED,VALUEDOMAIN,10/30/2003 08:34:21,SBREXT,NULL,NULL
RELEASED-NON-CMPLNT,VALUEDOMAIN,10/30/2003 8:34,SBREXT,NULL,NULL,,RELEASED-NON-CMPLNT,VALUEDOMAIN,10/30/2003 08:34:21,SBREXT,NULL,NULL
RETIRED ARCHIVED,VALUEDOMAIN,10/30/2003 8:34,SBREXT,NULL,NULL,,RETIRED ARCHIVED,VALUEDOMAIN,10/30/2003 08:34:21,SBREXT,NULL,NULL
DRAFT NEW,VALUE_MEANING,11/16/2010 15:10,AVDICD,NULL,NULL,,DRAFT NEW,VALUE_MEANING,11/16/2010 15:10:29,AVDICD,NULL,NULL
RELEASED,VALUE_MEANING,11/16/2010 15:10,AVDICD,NULL,NULL,,RELEASED,VALUE_MEANING,11/16/2010 15:10:29,AVDICD,NULL,NULL
RETIRED ARCHIVED,VALUE_MEANING,11/16/2010 15:10,AVDICD,NULL,NULL,,RETIRED ARCHIVED,VALUE_MEANING,11/16/2010 15:10:30,AVDICD,NULL,NULL
